_id,cuil,nombre,apellido,email,inscripcionId,instanciaId,instanciaSedeId,formularioId,synchronizedToOracle,deleted,estado,createdAt
64caa38c507f112c0e87e141,0000000000001,Carlos01,Muro01,carlosr@epidataconsulting.com,480,460,360,64c29a0adbd7a9004f2e22d2,true,false,true,2023-08-02 14:42:20,
64caa39d507f112c0e87e142,0000000000002,Carlos02,Muro02,carlosr@epidataconsulting.com,480,460,360,64c29a0adbd7a9004f2e22d2,true,false,true,2023-08-02 14:42:38,
64caa3c4507f112c0e87e143,0000000000004,Carlos04,Muro04,carlosr@epidataconsulting.com,480,460,360,64c29a0adbd7a9004f2e22d2,true,false,true,2023-08-02 14:43:16,
64caa3d6507f112c0e87e144,0000000000003,Carlos03,Muro03,carlosr@epidataconsulting.com,480,460,360,64c29a0adbd7a9004f2e22d2,true,false,true,2023-08-02 14:43:34,
64caa3e7507f112c0e87e145,0000000000005,Carlos05,Carlos05,carlosr@epidataconsulting.com,480,460,360,64c29a0adbd7a9004f2e22d2,true,false,true,2023-08-02 14:43:51,
64caa40f507f112c0e87e146,000000000006,Carlos06,Muro06,carlosr@epidataconsulting.com,480,460,360,64c29a0adbd7a9004f2e22d2,true,false,true,2023-08-02 14:44:32,
64caa427507f112c0e87e147,000000000000007,Carlos07,Muro07,carlosr@epidataconsulting.com,480,460,360,64c29a0adbd7a9004f2e22d2,true,false,true,2023-08-02 14:44:56,
64caa436507f112c0e87e148,000000000000008,Carlos08,Muor08,carlosr@epidataconsulting.com,480,460,360,64c29a0adbd7a9004f2e22d2,true,false,true,2023-08-02 14:45:10,
64caa44d507f112c0e87e149,000000000009,Carlos09,Muro09,carlosr@epidataconsulting.com,480,460,360,64c29a0adbd7a9004f2e22d2,true,false,true,2023-08-02 14:45:34,
64caa467507f112c0e87e14a,00000000000010,Carlos10,Muro10,carlosr@epidataconsulting.com,480,460,360,64c29a0adbd7a9004f2e22d2,true,true,true,2023-08-02 14:45:59,
64cbe9f1a5c10777a216108c,26900042,Juan Pablo,Zabala,juanpablozabala21@gmail.com,500,480,380,64c4342a6af10743bd93bfea,true,false,true,2023-54-03 01:54:57,
64cbfb1dd543807bab4b4836,111000111,Gestion01,Inscritos,carlosr@epidataconsulting.com,510,491,391,64c29a0adbd7a9004f2e22d2,true,false,true,2023-08-03 04:08:13,
